fill	x	y	showSelectedlegendcolourfill	showSelected1
#FC8D62	0.0426725188978298	0.235422343324251	glmnet	one
#E78AC3	0.0564496464277006	0.429427792915531	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.0538892952938308	0.331880108991826	earth	one
#FC8D62	0.0371181696482901	0.254395604395604	glmnet	one
#E78AC3	0.051356942923208	0.447252747252747	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.0473408786661799	0.331868131868132	earth	one
#FC8D62	0.0384708444229373	0.266101694915254	glmnet	one
#E78AC3	0.0504476167432858	0.438983050847458	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.0477861117832083	0.346327683615819	earth	one
#FC8D62	0.0385698542916616	0.249331193151418	glmnet	one
#E78AC3	0.0538753520264479	0.446227929373997	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.0482429288600465	0.338148742643125	earth	one
#FC8D62	0.0363658477256142	0.248070562293275	glmnet	one
#E78AC3	0.0522987107759669	0.42723263506064	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.0514473364144977	0.341234840132304	earth	one
#FC8D62	0.0394962093421374	0.259956942949408	glmnet	one
#E78AC3	0.0560039129371485	0.445102260495156	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.0487894350696992	0.33692142088267	earth	one
#FC8D62	0.0422105648407954	0.266449157150625	glmnet	one
#E78AC3	0.0566060753934366	0.439912996193583	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.0517262413077955	0.344752582925503	earth	one
#FC8D62	0.0392133204633205	0.255720823798627	glmnet	one
#E78AC3	0.0533301158301158	0.414759725400458	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.0487451737451737	0.326659038901602	earth	one
#FC8D62	0.0424597364568082	0.265760869565217	glmnet	one
#E78AC3	0.0544167886774036	0.43695652173913	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.0506344558321132	0.336413043478261	earth	one
#FC8D62	0.0401747784925355	0.273789649415693	glmnet	one
#E78AC3	0.0559533924019905	0.427378964941569	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.0489137031193106	0.348914858096828	earth	one
#FC8D62	0.0426725188978298	0.235422343324251	glmnet	one
#E78AC3	0.0564496464277006	0.429427792915531	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.0538892952938308	0.331880108991826	earth	one
#FC8D62	0.0371181696482901	0.254395604395604	glmnet	one
#E78AC3	0.051356942923208	0.447252747252747	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.0473408786661799	0.331868131868132	earth	one
#FC8D62	0.0384708444229373	0.266101694915254	glmnet	one
#E78AC3	0.0504476167432858	0.438983050847458	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.0477861117832083	0.346327683615819	earth	one
#FC8D62	0.0385698542916616	0.249331193151418	glmnet	one
#E78AC3	0.0538753520264479	0.446227929373997	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.0482429288600465	0.338148742643125	earth	one
#FC8D62	0.0363658477256142	0.248070562293275	glmnet	one
#E78AC3	0.0522987107759669	0.42723263506064	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.0514473364144977	0.341234840132304	earth	one
#FC8D62	0.0394962093421374	0.259956942949408	glmnet	one
#E78AC3	0.0560039129371485	0.445102260495156	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.0487894350696992	0.33692142088267	earth	one
#FC8D62	0.0422105648407954	0.266449157150625	glmnet	one
#E78AC3	0.0566060753934366	0.439912996193583	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.0517262413077955	0.344752582925503	earth	one
#FC8D62	0.0392133204633205	0.255720823798627	glmnet	one
#E78AC3	0.0533301158301158	0.414759725400458	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.0487451737451737	0.326659038901602	earth	one
#FC8D62	0.0424597364568082	0.265760869565217	glmnet	one
#E78AC3	0.0544167886774036	0.43695652173913	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.0506344558321132	0.336413043478261	earth	one
#FC8D62	0.0401747784925355	0.273789649415693	glmnet	one
#E78AC3	0.0559533924019905	0.427378964941569	xgboost	one
#8DA0CB	0	0	major.class	one
#66C2A5	0.0489137031193106	0.348914858096828	earth	one
